,car_age,car_age_category,car_brand,car_city,car_country,car_fuel,car_id,car_mileage,car_model,car_price
2094,4,Middle,Toyota,Barnaul,JP,gasoline,2094,37.0k,Raize,1699.0k
2096,11,Old,Renault,Barnaul,FR,gasoline,2096,140.0k,Duster,1555.0k
2102,13,Old,Kia,Barnaul,KR,gasoline,2102,200.0k,Sportage,1700.0k
2107,1,New,Geely,Barnaul,CN,gasoline,2107,5.4k,Tugella FY11,3900.0k
2111,22,Old,Subaru,Barnaul,JP,gasoline,2111,283.7k,Forester,810.0k
2137,21,Old,Mitsubishi,Barnaul,JP,gasoline,2137,320.0k,Lancer,370.0k
2139,6,Middle,Audi,Barnaul,DE,hybrid,2139,68.0k,A6,5555.6k
2141,18,Old,Kia,Barnaul,KR,gasoline,2141,130.0k,Picanto,650.0k
2155,7,Middle,Nissan,Barnaul,JP,gasoline,2155,175.0k,Note,1250.0k
2163,22,Old,Toyota,Barnaul,JP,gasoline,2163,355.0k,Corolla,665.0k
2167,23,Old,Toyota,Barnaul,JP,gasoline,2167,300.0k,Platz,480.0k
2186,23,Old,Mazda,Barnaul,JP,gasoline,2186,100.0k,Familia S-Wagon,359.0k
2202,23,Old,Toyota,Barnaul,JP,gasoline,2202,212.6k,Highlander,1149.0k
2203,18,Old,Nissan,Barnaul,JP,gasoline,2203,177.0k,X-Trail,865.0k
2209,14,Old,Toyota,Barnaul,JP,gasoline,2209,166.5k,Wish,1399.0k
2214,7,Middle,Renault,Barnaul,FR,gasoline,2214,89.6k,Kaptur,1749.0k
2235,21,Old,Subaru,Barnaul,JP,gasoline,2235,270.0k,Legacy B4,990.0k
2238,15,Old,Toyota,Barnaul,JP,gasoline,2238,168.0k,Corolla Axio,885.0k
2239,7,Middle,Mazda,Barnaul,JP,gasoline,2239,48.0k,Mazda6,2500.0k
2250,21,Old,Nissan,Barnaul,JP,gasoline,2250,224.5k,Cube,495.0k
2263,5,Middle,BMW,Barnaul,DE,diesel,2263,48.0k,X4,5597.0k
2295,4,Middle,Mitsubishi,Barnaul,JP,gasoline,2295,81,Pajero,4677.0k
2298,22,Old,Subaru,Barnaul,JP,gasoline,2298,313.0k,Forester,715.0k
2301,27,Old,Honda,Barnaul,JP,gasoline,2301,200.0k,Torneo,477.0k
2308,7,Middle,Kia,Barnaul,KR,diesel,2308,98.0k,Carnival,2250.0k
2320,2,New,Mitsubishi,Barnaul,JP,gasoline,2320,43.0k,Montero Sport,4570.0k
2325,16,Old,Nissan,Barnaul,JP,gasoline,2325,213.0k,Teana,1289.0k
2331,11,Old,Hyundai,Barnaul,KR,gasoline,2331,177.0k,ix35,1650.0k
2334,7,Middle,Volkswagen,Barnaul,DE,gasoline,2334,74.8k,Polo,1090.0k
2374,31,Old,Toyota,Barnaul,JP,gasoline,2374,370.0k,Mark II,370.0k
2380,17,Old,Toyota,Barnaul,JP,gasoline,2380,268.0k,Camry,1490.0k
2382,16,Old,Mazda,Barnaul,JP,gasoline,2382,230.0k,Demio,750.0k
2383,12,Old,Toyota,Barnaul,JP,diesel,2383,180.0k,Land Cruiser Prado,3000.0k
2401,14,Old,Mitsubishi,Barnaul,JP,gasoline,2401,220.5k,ASX,1369.0k
2419,12,Old,Toyota,Barnaul,JP,gasoline,2419,161.0k,RAV4,1985.0k
2435,16,Old,Lada,Makhachkala,RUS,gasoline,2435,39.0k,2104,245.0k
2440,27,Old,Toyota,Barnaul,JP,gasoline,2440,169.0k,Corolla Spacio,479.0k
2463,5,Middle,Hyundai,Barnaul,KR,gasoline,2463,133.0k,Creta,1900.0k
2470,11,Old,Ford,Barnaul,USA,gasoline,2470,172.5k,Explorer,2300.0k
2478,24,Old,Toyota,Barnaul,JP,gasoline,2478,314.9k,Funcargo,527.0k
2481,18,Old,Lada,Nizhny Novgorod,RUS,gasoline,2481,130.0k,2104,185.0k
2483,28,Old,Honda,Barnaul,JP,gasoline,2483,200.3k,CR-V,649.0k
2516,13,Old,Lada,Nizhny Novgorod,RUS,gasoline,2516,36.0k,2104,250.0k
2520,7,Middle,Honda,Barnaul,JP,gasoline,2520,84.8k,Stepwgn,2686.0k
2525,9,Middle,Hyundai,Barnaul,KR,gasoline,2525,200.0k,Solaris,1260.0k
2527,12,Old,Mitsubishi,Barnaul,JP,gasoline,2527,299.0k,Pajero,2350.0k
2547,5,Middle,Kia,Barnaul,KR,gasoline,2547,65.0k,Sportage,2500.0k
2554,24,Old,Lada,Rostov-on-Don,RUS,gasoline,2554,100.0k,2104,125.0k
2560,3,New,BMW,Barnaul,DE,diesel,2560,16.0k,X3,7200.0k
2565,15,Old,Lexus,Barnaul,JP,gasoline,2565,180.0k,RX350,2260.0k
2592,3,New,Toyota,Barnaul,JP,gasoline,2592,35.9k,RAV4,4049.0k
2594,5,Middle,Toyota,Barnaul,JP,gasoline,2594,98.0k,Corolla Fielder,1600.0k
2597,31,Old,Toyota,Barnaul,JP,diesel,2597,227.0k,Hilux Surf,620.0k
2607,20,Old,Nissan,Barnaul,JP,gasoline,2607,338.0k,Fuga,1100.0k
2612,15,Old,Honda,Barnaul,JP,gasoline,2612,120.0k,Freed,1170.0k
