,car_age,car_age_category,car_brand,car_city,car_country,car_fuel,car_id,car_mileage,car_model,car_price
8097,11,Old,Skoda,Yekaterinburg,CZ,gasoline,8097,206.0k,Yeti,1300.0k
8100,25,Old,Nissan,Yekaterinburg,JP,gasoline,8100,129.0k,Bluebird,275.0k
8104,11,Old,Opel,Yekaterinburg,DE,gasoline,8104,100.0k,Zafira,920.0k
8107,25,Old,Nissan,Yekaterinburg,JP,gasoline,8107,390.0k,Sunny,250.0k
8110,18,Old,Chery,Yekaterinburg,CN,gasoline,8110,100.0k,QQ Sweet,125.0k
8115,12,Old,Mazda,Yekaterinburg,JP,gasoline,8115,202.0k,Mazda3,979.0k
8129,8,Middle,Kia,Yekaterinburg,KR,gasoline,8129,75.5k,Soul,1699.0k
8143,3,New,BMW,Yekaterinburg,DE,gasoline,8143,15.0k,X7,13500.0k
8146,21,Old,Lada,Astrakhan,RUS,gasoline,8146,150.0k,2110,200.0k
8151,6,Middle,Kia,Yekaterinburg,KR,gasoline,8151,72.7k,Cerato,1690.0k
8152,22,Old,Lada,Astrakhan,RUS,gasoline,8152,58.1k,2110,300.0k
8157,9,Middle,Toyota,Yekaterinburg,JP,gasoline,8157,146.1k,Camry,2500.0k
8168,16,Old,Kia,Yekaterinburg,KR,diesel,8168,192.8k,Sorento,1250.0k
8176,24,Old,Lada,Barnaul,RUS,gasoline,8176,143.0k,2110,95.0k
8177,22,Old,Lada,Barnaul,RUS,gasoline,8177,230.0k,2110,170.0k
8187,16,Old,Hyundai,Yekaterinburg,KR,gasoline,8187,252.0k,Accent,470.0k
8201,10,Old,Volkswagen,Yekaterinburg,DE,gasoline,8201,195.9k,Tiguan,1136.0k
8203,10,Old,Hyundai,Yekaterinburg,KR,gasoline,8203,191.5k,Solaris,760.0k
8226,5,Middle,Honda,Yekaterinburg,JP,gasoline,8226,61.0k,N-BOX,1036.0k
8245,9,Middle,Toyota,Yekaterinburg,JP,diesel,8245,232.0k,Land Cruiser,3990.0k
8268,13,Old,Peugeot,Yekaterinburg,FR,gasoline,8268,206.8k,308,554.3k
8270,6,Middle,Kia,Yekaterinburg,KR,gasoline,8270,114.7k,Rio,1270.0k
8276,6,Middle,Toyota,Yekaterinburg,JP,gasoline,8276,153.3k,Camry,3138.0k
8289,1,New,Toyota,Yekaterinburg,JP,gasoline,8289,99,Camry,4850.0k
8294,9,Middle,BMW,Yekaterinburg,DE,diesel,8294,160.0k,5-Series,2630.0k
8298,25,Old,Lada,Yekaterinburg,RUS,gasoline,8298,200.0k,2110,55.0k
8302,2,New,Kia,Yekaterinburg,KR,gasoline,8302,12.3k,Cerato,2429.0k
8307,20,Old,Lada,Yekaterinburg,RUS,gasoline,8307,111.1k,2110,85.0k
8315,21,Old,Lada,Yekaterinburg,RUS,gasoline,8315,350.0k,2110,72.0k
8317,25,Old,Lada,Yekaterinburg,RUS,gasoline,8317,200.0k,2110,155.0k
8319,19,Old,Opel,Yekaterinburg,DE,gasoline,8319,275.0k,Zafira,777.8k
8320,17,Old,Ford,Yekaterinburg,USA,gasoline,8320,204.2k,Focus,448.0k
8324,25,Old,Toyota,Yekaterinburg,JP,diesel,8324,249.9k,Lite Ace Noah,859.0k
8329,6,Middle,Suzuki,Yekaterinburg,JP,gasoline,8329,115.0k,Swift,1250.0k
8333,14,Old,Peugeot,Yekaterinburg,FR,gasoline,8333,246.0k,308,540.0k
8344,6,Middle,Kia,Yekaterinburg,KR,gasoline,8344,110.0k,Rio X (X-Line),1159.0k
8347,11,Old,Citroen,Yekaterinburg,FR,gasoline,8347,181.0k,C3 Picasso,600.0k
8363,4,Middle,Haval,Yekaterinburg,CN,gasoline,8363,88.7k,F7x,2180.0k
8369,3,New,Renault,Yekaterinburg,FR,gasoline,8369,63.8k,Arkana,2169.0k
8371,13,Old,Hyundai,Yekaterinburg,KR,gasoline,8371,182.0k,ix35,1495.0k
8392,37,Old,Volkswagen,Yekaterinburg,DE,diesel,8392,237.0k,Transporter,189.0k
8415,6,Middle,Hyundai,Yekaterinburg,KR,gasoline,8415,47.9k,Creta,1879.0k
8422,23,Old,Opel,Yekaterinburg,DE,gasoline,8422,200.0k,Astra,380.0k
8423,27,Old,Audi,Yekaterinburg,DE,gasoline,8423,278.0k,A6,550.0k
8432,5,Middle,Renault,Yekaterinburg,FR,gasoline,8432,88.6k,Logan,899.0k
8441,11,Old,BMW,Yekaterinburg,DE,diesel,8441,160.4k,3-Series,2150.0k
8444,21,Old,Hyundai,Yekaterinburg,KR,gasoline,8444,188.8k,Accent,380.0k
8458,16,Old,Honda,Yekaterinburg,JP,gasoline,8458,323.0k,CR-V,1250.0k
8461,18,Old,Lada,Makhachkala,RUS,gasoline,8461,140.0k,2110,150.0k
8464,17,Old,Ford,Yekaterinburg,USA,gasoline,8464,269.0k,Focus,319.0k
8486,17,Old,Toyota,Yekaterinburg,JP,gasoline,8486,252.0k,Avensis,1080.0k
8489,14,Old,BMW,Yekaterinburg,DE,gasoline,8489,225.5k,7-Series,1530.0k
8492,18,Old,Renault,Yekaterinburg,FR,gasoline,8492,272.0k,Logan,175.0k
8500,20,Old,Lada,Moscow,RUS,gasoline,8500,80.5k,2110,120.0k
8516,8,Middle,Nissan,Yekaterinburg,JP,gasoline,8516,215.0k,AD,834.0k
8518,11,Old,Mazda,Yekaterinburg,JP,gasoline,8518,156.1k,Mazda3,1200.0k
8530,3,New,Toyota,Yekaterinburg,JP,gasoline,8530,4.0k,Roomy,1409.0k
8532,6,Middle,Toyota,Yekaterinburg,JP,hybrid,8532,116.5k,C-HR,2500.0k
8533,19,Old,Lada,Nizhny Novgorod,RUS,gasoline,8533,165.0k,2110,111.0k
8545,18,Old,Lexus,Yekaterinburg,JP,gasoline,8545,408.4k,RX350,1520.0k
8552,12,Old,Opel,Yekaterinburg,DE,gasoline,8552,180.0k,Astra GTC,1050.0k
8578,12,Old,Hyundai,Yekaterinburg,KR,gasoline,8578,275.0k,Santa Fe,1800.0k
8591,18,Old,Volvo,Yekaterinburg,SE,gasoline,8591,348.0k,S80,720.0k
8636,11,Old,Toyota,Yekaterinburg,JP,gasoline,8636,217.0k,Camry,1850.0k
8645,6,Middle,Datsun,Yekaterinburg,JP,gasoline,8645,78.0k,on-DO,616.6k
8663,4,Middle,Kia,Yekaterinburg,KR,gasoline,8663,50.1k,Sportage,2579.0k
8664,3,New,Geely,Yekaterinburg,CN,gasoline,8664,50.0k,Tugella FY11,3050.0k
8673,17,Old,Toyota,Yekaterinburg,JP,gasoline,8673,340.0k,Avensis,800.0k
8680,18,Old,Ford,Yekaterinburg,USA,gasoline,8680,230.0k,Fiesta,407.0k
8694,2,New,Toyota,Yekaterinburg,JP,hybrid,8694,82,RAV4,5450.0k
8699,6,Middle,Kia,Yekaterinburg,KR,gasoline,8699,108.0k,Rio,1198.0k
8724,16,Old,Toyota,Yekaterinburg,JP,hybrid,8724,242.0k,Crown,1700.0k
8735,9,Middle,Kia,Yekaterinburg,KR,gasoline,8735,121.0k,Rio,1199.9k
8743,12,Old,Hyundai,Yekaterinburg,KR,gasoline,8743,148.4k,Solaris,1179.9k
8760,24,Old,Lada,Samara,RUS,gasoline,8760,100.0k,2110,55.0k
8764,13,Old,Volkswagen,Yekaterinburg,DE,gasoline,8764,152.7k,Tiguan,1097.0k
8766,6,Middle,Toyota,Yekaterinburg,JP,gasoline,8766,140.0k,Camry,2389.0k
8777,6,Middle,Hyundai,Yekaterinburg,KR,diesel,8777,166.1k,Santa Fe,2439.0k
8778,15,Old,Skoda,Yekaterinburg,CZ,gasoline,8778,165.0k,Octavia,510.0k
8783,8,Middle,Volkswagen,Yekaterinburg,DE,gasoline,8783,103.5k,Polo,1200.0k
8786,1,New,Toyota,Yekaterinburg,JP,gasoline,8786,53,Hilux,5550.0k
8814,21,Old,Subaru,Irkutsk,JP,gasoline,8814,337.0k,Outback,850.0k
8821,13,Old,Toyota,Irkutsk,JP,gasoline,8821,116.0k,Ractis,1100.0k
8824,26,Old,Nissan,Irkutsk,JP,diesel,8824,307.0k,Safari,1800.0k
8840,18,Old,Toyota,Irkutsk,JP,gasoline,8840,237.6k,Camry,1300.0k
8842,2,New,Mitsubishi,Irkutsk,JP,gasoline,8842,38.4k,Eclipse Cross,2720.0k
8846,28,Old,Nissan,Irkutsk,JP,gasoline,8846,300.0k,Pulsar,165.0k
8852,28,Old,Mitsubishi,Irkutsk,JP,diesel,8852,150.0k,Delica,650.0k
8858,6,Middle,Toyota,Irkutsk,JP,gasoline,8858,125.0k,Roomy,1110.0k
8872,9,Middle,Suzuki,Irkutsk,JP,gasoline,8872,125.5k,Alto,465.0k
8873,14,Old,Mitsubishi,Irkutsk,JP,gasoline,8873,220.0k,Lancer,900.0k
8892,10,Old,Volkswagen,Irkutsk,DE,diesel,8892,135.0k,Touareg,3050.0k
8902,21,Old,Lada,Surgut,RUS,gasoline,8902,250.0k,2110,145.0k
8923,16,Old,Mazda,Irkutsk,JP,gasoline,8923,359.0k,Mazda6,750.0k
8950,31,Old,Toyota,Irkutsk,JP,gasoline,8950,159.0k,Mark II,300.0k
8952,24,Old,Toyota,Irkutsk,JP,gasoline,8952,226.0k,Mark II,1100.0k
8958,22,Old,Toyota,Irkutsk,JP,gasoline,8958,380.0k,Ipsum,600.0k
8973,20,Old,Toyota,Irkutsk,JP,gasoline,8973,301.0k,Harrier,1620.0k
8978,22,Old,Honda,Irkutsk,JP,gasoline,8978,291.0k,Fit,370.0k
9025,10,Old,Great,Irkutsk,CN,gasoline,9025,179.0k,Wall Hover H3,1100.0k
9045,20,Old,BMW,Irkutsk,DE,gasoline,9045,200.0k,X5,1250.0k
9073,21,Old,Mercedes-Benz,Irkutsk,DE,gasoline,9073,121.0k,SL-Class,3180.0k
9078,3,New,SsangYong,Irkutsk,KR ,diesel,9078,20.0k,Rexton Sports Khan,4248.0k
9080,13,Old,Lexus,Irkutsk,JP,hybrid,9080,170.0k,CT200h,1658.0k
9102,2,New,Audi,Irkutsk,DE,hybrid,9102,14.0k,A6,6900.0k
9118,12,Old,Toyota,Irkutsk,JP,gasoline,9118,162.0k,Camry,2090.0k
9134,20,Old,Lada,Ufa,RUS,gasoline,9134,145.0k,2110,170.0k
9147,8,Middle,Toyota,Irkutsk,JP,gasoline,9147,128.0k,RAV4,2000.0k
9150,20,Old,Toyota,Irkutsk,JP,gasoline,9150,360.0k,Mark X,950.0k
9155,14,Old,BMW,Irkutsk,DE,gasoline,9155,124.3k,X6,2250.0k
9178,7,Middle,Toyota,Irkutsk,JP,gasoline,9178,125.0k,Voxy,1899.0k
9183,25,Old,Toyota,Irkutsk,JP,gasoline,9183,260.0k,Aristo,850.0k
9203,5,Middle,Volkswagen,Irkutsk,DE,diesel,9203,107.0k,Amarok,4950.0k
9207,13,Old,BMW,Irkutsk,DE,gasoline,9207,122.0k,X1,1340.0k
9238,5,Middle,Kia,Irkutsk,KR,gasoline,9238,29.4k,Morning,1450.0k
9248,31,Old,Nissan,Irkutsk,JP,gasoline,9248,89.0k,Skyline,880.0k
9249,15,Old,Suzuki,Irkutsk,JP,gasoline,9249,149.0k,Splash,710.0k
9254,21,Old,Lada,Chelyabinsk,RUS,gasoline,9254,235.0k,2110,160.0k
9271,19,Old,Toyota,Irkutsk,JP,gasoline,9271,180.0k,Crown,800.0k
9296,15,Old,Honda,Irkutsk,JP,gasoline,9296,181.8k,Freed,920.0k
9313,6,Middle,Toyota,Irkutsk,JP,hybrid,9313,37.7k,Sienta,1700.0k
9330,4,Middle,Mercedes-Benz,Irkutsk,DE,diesel,9330,78.0k,GLE,8000.0k
9335,30,Old,Nissan,Irkutsk,JP,gasoline,9335,220.0k,Cima,1000.0k
9337,22,Old,Toyota,Irkutsk,JP,gasoline,9337,330.0k,Caldina,700.0k
9348,25,Old,Mercedes-Benz,Irkutsk,DE,gasoline,9348,330.0k,M-Class,650.0k
9350,6,Middle,Kia,Irkutsk,KR,gasoline,9350,53.0k,Optima,2150.0k
9353,27,Old,Volvo,Irkutsk,SE,gasoline,9353,617.0k,S90,170.0k
9385,5,Middle,Chery,Irkutsk,CN,gasoline,9385,75.7k,Tiggo 4,1800.0k
9398,12,Old,Toyota,Irkutsk,JP,hybrid,9398,200.0k,Prius,1000.0k
9418,14,Old,Toyota,Irkutsk,JP,hybrid,9418,240.0k,Prius,1300.0k
9422,32,Old,Toyota,Irkutsk,JP,diesel,9422,280.0k,Hiace,420.0k
9445,13,Old,Toyota,Irkutsk,JP,gasoline,9445,253.0k,Town Ace,850.0k
9455,10,Old,Toyota,Irkutsk,JP,gasoline,9455,73.0k,RAV4,2370.0k
9461,15,Old,Lexus,Irkutsk,JP,gasoline,9461,233.0k,RX350,2250.0k
9466,19,Old,Chevrolet,Irkutsk,USA,gasoline,9466,220.0k,Lacetti,450.0k
9477,15,Old,Lada,Krasnodar,RUS,gasoline,9477,156.0k,2111,230.0k
9517,16,Old,Toyota,Irkutsk,JP,hybrid,9517,260.0k,Prius,845.0k
9524,20,Old,Toyota,Irkutsk,JP,gasoline,9524,349.2k,Camry,730.0k
9533,9,Middle,BMW,Irkutsk,DE,diesel,9533,90.0k,X5,4039.0k
9536,13,Old,Skoda,Irkutsk,CZ,gasoline,9536,305.0k,Fabia,499.0k
9546,26,Old,Toyota,Irkutsk,JP,gasoline,9546,180.0k,Raum,335.0k
9548,31,Old,Toyota,Irkutsk,JP,gasoline,9548,300.0k,Crown,275.0k
9565,18,Old,Mazda,Irkutsk,JP,gasoline,9565,160.0k,Mazda3,720.0k
9585,34,Old,Toyota,Irkutsk,JP,gasoline,9585,211.1k,Carina ED,375.0k
9603,4,Middle,Renault,Irkutsk,FR,gasoline,9603,37.6k,Sandero Stepway,1390.0k
9626,23,Old,Toyota,Irkutsk,JP,gasoline,9626,240.0k,Mark II,400.0k
9649,10,Old,Hyundai,Irkutsk,KR,gasoline,9649,130.0k,Solaris,1190.0k
9665,32,Old,Toyota,Irkutsk,JP,gasoline,9665,400.0k,Corolla II,250.0k
9689,6,Middle,Nissan,Irkutsk,JP,gasoline,9689,97.0k,Qashqai,2120.0k
9705,12,Old,Mitsubishi,Irkutsk,JP,gasoline,9705,158.4k,Lancer,1140.0k
9709,11,Old,Honda,Irkutsk,JP,gasoline,9709,199.9k,Accord,1500.0k
9730,9,Middle,Honda,Irkutsk,JP,gasoline,9730,79.0k,Vezel,1655.0k
9774,4,Middle,Geely,Irkutsk,CN,gasoline,9774,39.0k,Atlas,1585.0k
9777,9,Middle,Toyota,Irkutsk,JP,hybrid,9777,128.4k,Corolla Fielder,1350.0k
9786,11,Old,Porsche,Irkutsk,DE,diesel,9786,203.0k,Cayenne,3000.0k
9787,17,Old,Chevrolet,Irkutsk,USA,gasoline,9787,330.0k,Niva,300.0k
9790,23,Old,Lada,Chelyabinsk,RUS,gasoline,9790,200.0k,2111,130.0k
9801,25,Old,Toyota,Irkutsk,JP,gasoline,9801,307.0k,Carina,430.0k
9804,14,Old,Suzuki,Irkutsk,JP,gasoline,9804,225.4k,Grand Vitara,1228.0k
9810,10,Old,Honda,Irkutsk,JP,hybrid,9810,130.0k,Freed Spike,1299.0k
9842,6,Middle,Audi,Irkutsk,DE,gasoline,9842,64.0k,Q5,3780.0k
9846,8,Middle,Lexus,Irkutsk,JP,gasoline,9846,49.5k,LX570,9800.0k
9848,11,Old,Toyota,Irkutsk,JP,diesel,9848,262.0k,Land Cruiser Prado,2690.0k
9852,5,Middle,Datsun,Irkutsk,JP,gasoline,9852,103.0k,on-DO,580.0k
9854,6,Middle,Audi,Irkutsk,DE,diesel,9854,90.0k,A4,2500.0k
9856,24,Old,Subaru,Irkutsk,JP,gasoline,9856,250.0k,Forester,450.0k
9857,12,Old,BMW,Irkutsk,DE,diesel,9857,137.0k,X3,2650.0k
9870,7,Middle,Toyota,Irkutsk,JP,hybrid,9870,12.0k,C-HR,2448.0k
9873,13,Old,Honda,Irkutsk,JP,hybrid,9873,167.0k,Fit Shuttle,1148.0k
9878,14,Old,Mazda,Irkutsk,JP,gasoline,9878,155.0k,Bongo,789.9k
9891,31,Old,Toyota,Irkutsk,JP,diesel,9891,300.0k,Hilux Surf,695.0k
9902,19,Old,Ford,Irkutsk,USA,gasoline,9902,230.0k,Focus,150.0k
9903,13,Old,Mitsubishi,Irkutsk,JP,gasoline,9903,206.0k,Lancer,1150.0k
9904,17,Old,Lada,Chelyabinsk,RUS,gasoline,9904,140.0k,2111,315.0k
9929,18,Old,Hyundai,Irkutsk,KR,diesel,9929,270.0k,Starex,400.0k
9932,30,Old,Mitsubishi,Irkutsk,JP,gasoline,9932,190.0k,Galant,110.0k
9936,16,Old,Chevrolet,Irkutsk,USA,gasoline,9936,234.0k,Lanos,145.0k
9948,20,Old,Hyundai,Irkutsk,KR,gasoline,9948,306.0k,Accent,365.0k
9955,9,Middle,Toyota,Irkutsk,JP,gasoline,9955,225.0k,Hiace,2820.0k
9964,16,Old,Audi,Irkutsk,DE,diesel,9964,294.0k,Q7,1400.0k
9981,10,Old,Kia,Irkutsk,KR,diesel,9981,136.7k,Sportage,1750.0k
9996,21,Old,Lada,Yekaterinburg,RUS,gasoline,9996,130.0k,2112,200.0k
9997,2,New,Chery,Irkutsk,CN,gasoline,9997,17.0k,Tiggo 4,2000.0k
10052,23,Old,Toyota,Irkutsk,JP,gasoline,10052,200.0k,Allex,720.0k
10055,8,Middle,Volkswagen,Irkutsk,DE,gasoline,10055,120.0k,Polo,1000.0k
10060,12,Old,Honda,Irkutsk,JP,hybrid,10060,29.0k,Fit Shuttle,1210.0k
10069,17,Old,Lada,Yekaterinburg,RUS,gasoline,10069,115.0k,2112,120.0k
10075,21,Old,Toyota,Irkutsk,JP,gasoline,10075,300.0k,WiLL Cypha,330.0k
10076,5,Middle,Lexus,Irkutsk,JP,gasoline,10076,76.0k,UX200,3050.0k
10090,28,Old,Honda,Irkutsk,JP,gasoline,10090,266.0k,Integra SJ,230.0k
10094,20,Old,Lexus,Irkutsk,JP,gasoline,10094,260.0k,RX330,1520.0k
10101,18,Old,Nissan,Irkutsk,JP,gasoline,10101,247.1k,Teana,770.0k
10108,6,Middle,Honda,Irkutsk,JP,gasoline,10108,128.0k,Fit,1250.0k
10112,10,Old,Toyota,Irkutsk,JP,diesel,10112,201.0k,Land Cruiser,4700.0k
10119,21,Old,Toyota,Irkutsk,JP,gasoline,10119,271.7k,Corolla Fielder,690.0k
10126,23,Old,Nissan,Irkutsk,JP,gasoline,10126,356.0k,Sunny,270.0k
10130,12,Old,Honda,Irkutsk,JP,hybrid,10130,136.0k,Freed,1250.0k
10134,7,Middle,Toyota,Irkutsk,JP,gasoline,10134,95.7k,RAV4,2650.0k
10135,8,Middle,Honda,Irkutsk,JP,hybrid,10135,180.0k,Fit,1070.0k
10143,24,Old,Toyota,Irkutsk,JP,gasoline,10143,192.0k,Platz,285.0k
10144,24,Old,Toyota,Irkutsk,JP,gasoline,10144,444.7k,Progres,565.0k
10151,19,Old,Lada,Kazan,RUS,gasoline,10151,230.0k,2112,140.0k
10200,13,Old,Honda,Irkutsk,JP,gasoline,10200,149.0k,Fit,950.0k
10204,27,Old,Toyota,Irkutsk,JP,gasoline,10204,250.0k,Camry,493.0k
10212,16,Old,Nissan,Irkutsk,JP,gasoline,10212,215.6k,Note,715.0k
10213,20,Old,Lada,Kazan,RUS,gasoline,10213,189.8k,2112,109.0k
10215,13,Old,BMW,Irkutsk,DE,gasoline,10215,168.0k,3-Series,1600.0k
10220,3,New,Mercedes-Benz,Irkutsk,DE,diesel,10220,45.1k,GLS-Class,12700.0k
10224,14,Old,Toyota,Irkutsk,JP,hybrid,10224,134.7k,Prius,1150.0k
10230,26,Old,Honda,Irkutsk,JP,gasoline,10230,280.0k,CR-V,507.0k
10232,16,Old,Suzuki,Irkutsk,JP,gasoline,10232,136.0k,Jimny,715.0k
10249,9,Middle,Toyota,Irkutsk,JP,hybrid,10249,89.6k,Corolla Fielder,1420.0k
10251,16,Old,Toyota,Irkutsk,JP,hybrid,10251,130.0k,Prius,869.0k
10256,6,Middle,Subaru,Irkutsk,JP,gasoline,10256,75.0k,Levorg,1830.0k
10263,7,Middle,Toyota,Irkutsk,JP,hybrid,10263,49.0k,C-HR,2349.0k
10269,24,Old,Toyota,Irkutsk,JP,gasoline,10269,383.0k,Caldina,570.0k
10271,18,Old,Toyota,Irkutsk,JP,gasoline,10271,352.0k,Allion,899.0k
10313,13,Old,Renault,Irkutsk,FR,gasoline,10313,163.9k,Latitude,799.0k
10319,14,Old,Opel,Irkutsk,DE,gasoline,10319,134.0k,Astra,575.0k
10332,7,Middle,Toyota,Irkutsk,JP,gasoline,10332,95.0k,Tank,1235.0k
10335,13,Old,Suzuki,Irkutsk,JP,gasoline,10335,97.0k,SX4,930.0k
10341,12,Old,Volkswagen,Irkutsk,DE,gasoline,10341,230.0k,Jetta,690.0k
10356,19,Old,Lexus,Irkutsk,JP,gasoline,10356,184.6k,GS300,1350.0k
10360,23,Old,Toyota,Irkutsk,JP,gasoline,10360,157.8k,Mark II,750.0k
10363,15,Old,Honda,Irkutsk,JP,hybrid,10363,104.0k,Insight,880.0k
10371,17,Old,Nissan,Irkutsk,JP,gasoline,10371,190.0k,Tiida,615.0k
10398,25,Old,Toyota,Irkutsk,JP,gasoline,10398,300.0k,Crown,580.0k
10408,6,Middle,Lexus,Irkutsk,JP,gasoline,10408,123.0k,LX570,10675.0k
10413,9,Middle,Nissan,Irkutsk,JP,gasoline,10413,135.0k,Almera,580.0k
10428,18,Old,Nissan,Irkutsk,JP,gasoline,10428,280.0k,Note,595.0k
10442,12,Old,Opel,Irkutsk,DE,diesel,10442,162.0k,Antara,1470.0k
10470,7,Middle,Ford,Irkutsk,USA,gasoline,10470,103.2k,Focus,1150.0k
10480,6,Middle,Nissan,Irkutsk,JP,gasoline,10480,25.7k,Juke,1890.0k
10504,16,Old,Lexus,Irkutsk,JP,gasoline,10504,188.0k,RX350,1710.0k
10511,7,Middle,BMW,Irkutsk,DE,diesel,10511,76.0k,X6,5490.0k
10512,10,Old,Nissan,Irkutsk,JP,gasoline,10512,140.0k,Qashqai,1730.0k
10521,12,Old,Ford,Irkutsk,USA,gasoline,10521,188.9k,Focus,830.0k
10534,6,Middle,Toyota,Irkutsk,JP,gasoline,10534,49.0k,Vitz,1165.0k
10536,19,Old,Toyota,Irkutsk,JP,gasoline,10536,208.4k,Allion,830.0k
10545,24,Old,Toyota,Irkutsk,JP,gasoline,10545,271.0k,Caldina,1000.0k
10546,14,Old,Toyota,Irkutsk,JP,hybrid,10546,162.5k,Prius,1300.0k
10552,20,Old,Toyota,Irkutsk,JP,gasoline,10552,271.0k,Land Cruiser Prado,1960.0k
10582,4,Middle,BMW,Kazan,DE,diesel,10582,90.1k,X6,8613.0k
10587,19,Old,Lada,Makhachkala,RUS,gasoline,10587,288.0k,2112,290.0k
10596,23,Old,Lada,Moscow,RUS,gasoline,10596,300.0k,2112,90.0k
10620,11,Old,Volkswagen,Kazan,DE,gasoline,10620,227.7k,Tiguan,1482.0k
10623,17,Old,Lada,Nizhny Novgorod,RUS,gasoline,10623,200.0k,2112,250.0k
10643,10,Old,Hyundai,Kazan,KR,gasoline,10643,160.5k,Solaris,1010.0k
10646,14,Old,Hyundai,Kazan,KR,gasoline,10646,154.4k,Genesis,1350.0k
10655,10,Old,BMW,Kazan,DE,gasoline,10655,195.0k,3-Series,1430.0k
10677,0,New,Hyundai,Kazan,KR,gasoline,10677,47,Tucson,4180.0k
10688,23,Old,Lada,Samara,RUS,gasoline,10688,230.0k,2112,93.0k
10694,16,Old,Chevrolet,Kazan,USA,gasoline,10694,252.9k,Lacetti,537.0k
10698,3,New,Chery,Kazan,CN,gasoline,10698,51.2k,Tiggo 4,1696.7k
10703,7,Middle,Ford,Kazan,USA,gasoline,10703,272.9k,Focus,999.6k
10713,20,Old,Lada,Surgut,RUS,gasoline,10713,166.0k,2112,130.0k
10721,5,Middle,Lexus,Kazan,JP,gasoline,10721,165.6k,RX300,4571.0k
10742,3,New,Geely,Kazan,CN,gasoline,10742,44.8k,Coolray,1850.0k
10744,1,New,Chevrolet,Kazan,USA,gasoline,10744,226,Monza,2050.0k
10745,5,Middle,Mercedes-Benz,Kazan,DE,gasoline,10745,65.1k,GLE Coupe,6090.0k
10746,4,Middle,Hyundai,Kazan,KR,gasoline,10746,46.5k,Creta,2019.0k
10753,3,New,Skoda,Kazan,CZ,diesel,10753,47.8k,Octavia,4350.0k
10756,3,New,Kia,Kazan,KR,gasoline,10756,28.0k,Rio X (X-Line),2350.0k
10758,13,Old,Toyota,Kazan,JP,hybrid,10758,240.0k,Prius,925.0k
10769,10,Old,Hyundai,Kazan,KR,gasoline,10769,71.9k,Solaris,1050.0k
10772,12,Old,BMW,Kazan,DE,gasoline,10772,215.2k,1-Series,1098.0k
10785,6,Middle,Hyundai,Kazan,KR,gasoline,10785,178.5k,Creta,1560.0k
10796,13,Old,Mitsubishi,Kazan,JP,gasoline,10796,133.0k,Lancer,969.0k
10799,17,Old,Toyota,Kazan,JP,gasoline,10799,210.0k,Alphard,2100.0k
10801,22,Old,Renault,Kazan,FR,gasoline,10801,240.0k,Symbol,260.0k
10813,4,Middle,Toyota,Kazan,JP,gasoline,10813,37.5k,Highlander,4249.0k
10820,11,Old,Peugeot,Kazan,FR,gasoline,10820,108.3k,208,879.0k
10828,5,Middle,Nissan,Kazan,JP,gasoline,10828,109.0k,X-Trail,2221.4k
10833,9,Middle,Mercedes-Benz,Kazan,DE,gasoline,10833,78.2k,GLA-Class,1927.5k
10837,20,Old,Lada,Ufa,RUS,gasoline,10837,160.6k,2112,285.0k
10843,2,New,Geely,Kazan,CN,gasoline,10843,17.1k,Coolray,1950.0k
10846,11,Old,BMW,Kazan,DE,gasoline,10846,182.2k,5-Series,2343.0k
10848,7,Middle,BMW,Kazan,DE,gasoline,10848,122.0k,4-Series,2600.0k
10854,13,Old,Hyundai,Kazan,KR,gasoline,10854,153.8k,Solaris,810.0k
10859,4,Middle,Renault,Kazan,FR,gasoline,10859,30.0k,Kaptur,1850.0k
10863,4,Middle,BMW,Kazan,DE,gasoline,10863,37.2k,X1,3350.0k
10865,3,New,Nissan,Kazan,JP,gasoline,10865,68.0k,X-Trail,2379.0k
10867,16,Old,Mitsubishi,Kazan,JP,gasoline,10867,265.0k,Pajero Sport,1029.0k
10872,23,Old,Lada,Chelyabinsk,RUS,gasoline,10872,219.0k,2112,180.0k
10874,5,Middle,Renault,Kazan,FR,gasoline,10874,49.1k,Arkana,2029.0k
10881,8,Middle,Renault,Kazan,FR,gasoline,10881,24.3k,Kaptur,1712.0k
10895,17,Old,Lada,Chelyabinsk,RUS,gasoline,10895,212.0k,2112,215.0k
10904,6,Middle,Daihatsu,Kazan,JP,gasoline,10904,92.0k,Move,899.0k
10913,3,New,Chery,Kazan,CN,gasoline,10913,55.9k,Tiggo 4,1579.0k
10921,10,Old,Volkswagen,Kazan,DE,gasoline,10921,175.0k,Polo,699.0k
10927,11,Old,Ford,Kazan,USA,gasoline,10927,157.6k,Mondeo,999.0k
10969,18,Old,Chevrolet,Kazan,USA,gasoline,10969,187.2k,Aveo,309.0k
10979,7,Middle,Kia,Kazan,KR,gasoline,10979,126.6k,Optima,2080.0k
10988,9,Middle,Kia,Kazan,KR,gasoline,10988,149.5k,Rio,1091.0k
10992,6,Middle,Hyundai,Kazan,KR,gasoline,10992,148.9k,Solaris,1280.0k
11003,5,Middle,Honda,Kazan,JP,gasoline,11003,119.0k,N-BOX,1070.0k
11007,11,Old,Audi,Kazan,DE,gasoline,11007,153.7k,A3,1509.0k
11034,11,Old,Daewoo,Kazan,KR,gasoline,11034,156.0k,Nexia,246.0k
